_id,cultivarName,accessionNumber,link,maturity,leafColor,downyMildew,verticilliumWilt,viruses,vigor,yield,sidearmLength,alphaAcids,alphaAcidsHigh,alphaAcidsLow,alphaAcidsAverage,betaAcids,betaAcidsHigh,betaAcidsLow,betaAcidsAverage,cohumulone,cohumuloneHigh,cohumuloneLow,cohumuloneAverage,oil,oilLow,oilHigh,oilAverage,H/CRatio,H/CRatioLow,H/CRatioHigh,H/CRatioAverage,humulene,humuleneHigh,humuleneLow,humuleneAverage,caryophylleneOriginal,caryophyllene,myrceneOriginal,myrcene,farneseneOriginal,farnesene
6708457e1540d082ce0716d7,Styrian,21049,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21049.html,Early,Dark Green,resistant,moderately susceptible,"Viruses: free of Prunus, Apple Mosaic, and Hop Mosaic Viruses",Medium,Medium low: 1200-1500 lbs/acre,Short (12-24 inches),5.6% (10 year range: 4.2 to 7.8),7.8,4.2,6.0,3.0% (10 year range: 2.1 to 6.4),6.4,2.1,4.3,28%,28,28,28,0.92 ml/100 g,0.92,,0.92,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce071696,Apolon,21051,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21051.html,Medium late,Green to light green,moderately resistant,,Viruses: unknown,Good to very good,"Good, but fluctuates over the years",12-24 inches,10-12%,12.0,10.0,11.0,4%,4.0,4.0,4.0,26%,26,26,26,1.3 to 1.6 ml/100 g,1.60,1.30,1.45,H/C ratio 2.25,2.25,,2.25,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce07169c,Atlas,21052,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21052.html,Medium late to late,Green to moderately light green,moderately resistant,,"Viruses: infected with Apple and Cherry strain of Prunus, Necrotic Ringspot virus, Hop Mosaic virus; shows conspicuous yellow flecking on lower leaves",Fair to good,Poor to good,12-24 inches,9-11%,11.0,9.0,10.0,4%,4.0,4.0,4.0,36%,36,36,36,1.3-1.6 ml/100 g,1.60,1.30,1.45,H/C ratio 1.8-2.1,2.10,1.80,1.95,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce07169f,Aurora,21053,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21053.html,Medium early to medium late,Green to moderately dark green,moderately resistant,,Viruses: unknown,Good to very good,Good to very good,12-30 inches,10-12%,12.0,10.0,11.0,4-5%,5.0,4.0,4.5,22%,22,22,22,1.1-1.8 ml/100 g,1.80,1.10,1.45,H/C ratio 3.27,3.27,,3.27,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716cf,Bullion 10A,21056,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21056.html,Medium early,Dark green,moderately resistant,resistant,Viruses: free of prunus and apple mosaic virus,Excellent,"High, 2000-2500 lbs/acre",20-40 inches,10.7% (10 year range: 8.0 to 13.8%),13.8,8.0,10.9,5.2% (10 year range: 2.8 to 6.9%),6.9,2.8,4.9,42%,42,42,42,1.55 ml/100 g (10 year range: 0.58 to 2.50),1.55,,1.55,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce07169b,Saazer,21077,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21077.html,Early,Medium green,moderately resistant,,Viruses: carries prunus necrotic ringspot virus (apple strain) and hop Mosaic virus,"poor, especially in early spring when sleepers (lack of growth) are common","poor, less than 800 lbs/acre",6 - 10 inches,4.3% (10 year range: 2.8 - 6.6),6.6,2.8,4.7,3.6% (10 year range: 2.7 - 4.6),4.6,2.7,3.7,24%,24,24,24,0.62 ml/100 grams (7 year range: 0.30 - 1.07),0.62,,0.62,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce071698,Record,21078,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21078.html,Early,Medium green,moderately resistant,,"Viruses: infected with Prunus Necrotic Ringspot virus, hop mosaic and hop latent virus.",Medium to good,"Low, about 1200 lbs/acre",10-15 inches,8.9% (10-year range 7-12%),12.0,7.0,9.5,6.6% (10-year range 4-8%),8.0,4.0,6.0,27%,27,27,27,1.82 ml/100 g (10-year average),1.82,,1.82,H/C ratio 3.0,3.00,,3.00,Humulene 26-28%,28.0,26.0,27.0,unknown,,myrcene below 50%,,,
6708457e1540d082ce0716b4,Blue Northern Brewer,21079,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21079.html,early,dark reddish blue,moderately resistant,resistant to tolerant,"Viruses: free of PNRV , Apple Mosaic virus and American Hop Latent Virus",,very poor,6 - 12 inches,6 - 8%,8.0,6.0,7.0,3 - 4%,4.0,3.0,3.5,24%,24,24,24,0.76 ml/100 g,0.76,,0.76,H/C ratio = 2.96,2.96,,2.96,Humulene 29%,29.0,,29.0,caryophyllene 1w0%,10.0,myrcene 27 - 40%,40.0,none,
6708457e1540d082ce0716a5,Backa,21080,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21080.html,Late,Light green,moderately susceptible,,Viruses: unknown,Good to very good,"Fair to good in U.S. trials, very good in Yugoslavia",12-30 inches,Slightly lower than USDA 56002,5.9,2.1,4.0,Slightly lower than USDA 56002,,,,25%,25,25,25,"1.19 ml/100 g (range 0.73-1.72 ml/100 g); humulene 19%, H/C ratio 3.13",1.19,,1.19,H/C ratio 3.13,3.13,,3.13,Humulene 19%,19.0,,19.0,unknown,,unknown,,,
6708457e1540d082ce071705,Neoplanta,21082,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21082.html,Late,Dark green,moderately resistant to resistant,,Viruses: unknown,Excellent to very good,Very good,20-30 inches,9.1% (10-year range 7.4-12.0%),12.0,7.4,9.7,3.9% (10-year range 2.9-5.0%),5.0,2.9,4.0,36%,36,36,36,"1.28 ml/100 g; humulene 20%, H/C ratio 2.30; contains about 5% farnesene.",1.28,,1.28,H/C ratio 2.30,2.30,,2.30,Humulene 20%,20.0,,20.0,unknown,,unknown,,contains about 5% farnesene.,5.0
6708457e1540d082ce071700,Vojvodina,21083,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21083.html,Very late,Dark green,resistant,,Viruses: unknown,Very good,Very good,20-36 inches,8.6% (10-year range 6.1-10.5%),10.5,6.1,8.3,3.6% (10-year range 2.3-4.7%),4.7,2.3,3.5,30%,30,30,30,0.90 ml/100 g (range 0.6-1.4 ml/100 g),0.90,,0.90,H/C ratio 2.67,2.67,,2.67,Humulene 13%,13.0,,13.0,unknown,,unknown,,contains little farnesene,
6708457e1540d082ce0716e9,Cascade,21092,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21092.html,Medium to medium late,Medium green to dark green,resistant,moderately resistant to tolerant,"Viruses: free of Prunus Necrotic Ringspot virus and Apple mosaic Virus; infected with Hop Mosaic, Hop Latent, and American Hop Latent viruses.",Very good,"Very good, 1800-2200 lbs/acre",20-30 inches,6.3% (7-year range 5.1-8.9%),8.9,5.1,7.0,5.6% (7-year range 3.6-7.5%),7.5,3.6,5.6,36-40%,40,36,38,1.24 ml/100 g,1.24,,1.24,H/C ratio - 2.67,2.67,,2.67,Humulene 10%,10.0,,10.0,unknown,,unknown,,about 4%,4.0
6708457e1540d082ce071710,Northern Brewer,21093,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21093.html,Early,Medium to dark green,moderately resistant,resistant,Viruses: free of Prunus Necrotic Ringspot and Apple Mosaic; infected with Hop Mosaic and Hop Latent viruses. Probably free of American Hop Latent virus.,Poor to moderate,"Low, 800-1200 lbs/acre",12-20 inches,10.6% (7-year range 13.5-8.8%),13.5,8.8,11.2,4.2% (7-year range 3.4-5.2%),5.2,3.4,4.3,24%,24,24,24,1.60 ml/100 g (7-year range 1.0 to 2.1 ml per 100 g),1.60,,1.60,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716d0,Hueller Bitter,21097,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21097.html,Medium,Light green,resistant,resistant,Viruses: unknown,Very good,Very good in Germany but variable in US test plots near Corvallis (10-year range 900-1700 lbs/acre with 1200 lbs/acre average),12-28 inches,8.5% (10-year range 6-10%),10.0,6.0,8.0,4.4% (10-year range 3.8-5.4%),5.4,3.8,4.6,28%,28,28,28,1.40 ml/100 g (10-year range 0.64-2.20),1.40,,1.40,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce071712,Wye Target,21112,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21112.html,Medium late,Dark green,resistant,moderately resistant to tolerant,Viruses: free of all hop viruses when received,Very good,Very good: 1800-2200 lbs/acre but variable,24-36 inches,12.6% (10 year range: 8.9 to 15.2),15.2,8.9,12.1,5.3% (10 year range: 3.9 to 6.9),6.9,3.9,5.4,33-36%,36,33,35,1.69 ml/100 g (10 year range: 0.82 to 2.32),1.69,,1.69,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716f0,Lubelska,21113,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21113.html,Early,Medium dark green,moderately resistant,,"Viruses: heavily infected with several hop viruses, notably Prunus necrotic ring spot",Poor,"Low (300-700 lbs/acre near Corvallis, probably somewhat higher in Poland)",24-36 inches,12.6% (10 year range: 8.9 to 15.2),15.2,8.9,12.1,5.3% (10 year range: 3.9 to 6.9),6.9,3.9,5.4,33-36%,36,33,35,1.69 ml/100 g (10 year range: 0.82 to 2.32),1.69,,1.69,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716ff,Nadwislanska,21114,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21114.html,Early,Green to dark green,moderately resistant,,Viruses: Infected with prunus necrotic ringspot virus and several other hop viruses,Poor,"Low (200-400 lbs/acre near Corvallis, probably higher in Poland)",6-20 inches,3-5%,5.0,3.0,4.0,2.5-5%,5.0,2.5,3.8,23%,23,23,23,0.5 ml/100 g,0.50,,0.50,H/C = 3.33,3.33,,3.33,humulene 27% of the oil,27.0,,27.0,unknown,,unknown,,,
6708457e1540d082ce071724,Pocket Talisman,21115,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21115.html,Late,Light green,tolerant,,Viruses: unknown,Good to poor,Medium to poor,12-24 inches,6%,6.0,6.0,6.0,3.20%,3.2,3.2,3.2,55%,55,55,55,0.63 ml/100 g,0.63,,0.63,H/C 1.09,1.09,,1.09,unknown,,,,unknown,,very high myrcene (65-70%),70.0,,
6708457e1540d082ce0716c6,"Brewer's Gold, v.f. (virus free)",21116,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21116.html,Late,Light green,moderately resistant,resistant,Viruses free of Prunus Necrotic Ringspot Virus and Apple Mosaic Virus,Excellent,High: 2200-2600 lbs/acre,24-40 inches,9.7% (10 year range: 8.1 to 13.1),13.1,8.1,10.6,4.7% (10 year range: 3.7 to 6.8),6.8,3.7,5.3,41%,41,41,41,1.90ml/100 g (10 year range: 0.81 to 3.04),1.90,,1.90,unknown,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716d2,Hybrid-2,21167,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21167.html,Medium to late,Medium green,moderately susceptible,,Viruses: unknown,Good,1400-2000 lbs/acre,12-36 inches,10.2% (5-year range 7.9-12.5%),12.5,7.9,10.2,6.3% (5-year range 4.4-7.5%),7.5,4.4,6.0,32%,32,32,32,0.91% (5-year range 0.62-1.15 ml/100 g),0.91,,0.91,unknown,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce071726,Precoce de Bourgogne,21168,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21168.html,Early to medium early,Dark green,moderately resistant,moderately resistant,Viruses: unknown,Medium to poor,"Low, 1200-1500 lbs/acre",12-20 inches,3.4% (3-year range: 3.1-3.7),3.7,3.1,3.4,3.1% (3-year range: 2.6-3.5),3.5,2.6,3.1,23%,23,23,23,0.34 ml/100 g (3 year range: 0.39-0.53),0.34,,0.34,unknown,,,,unknown,,,,unknown,,unknown,,Contains significant amounts of farnesene,
6708457e1540d082ce0716e2,Tardif de Bourgogne,21169,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21169.html,Late,Dark green,moderately resistant,,Viruses: unknown,Fair to good,"Medium, 1200-1600 lbs/acre",12-20 inches,4.3% (3-year range: 3.1-5.5),5.5,3.1,4.3,4.8% (3-year range: 3.1-5.5),5.5,3.1,4.3,20%,20,20,20,0.65 ml/100 g (3-year range 0.49-0.73),0.65,,0.65,H/C ratio 2.60,2.60,,2.60,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce07171d,Elsaesser,21170,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21170.html,Early,Medium Green,moderately resistant,,Viruses: unknown,Poor,,,unknown,,,,unknown,,,,26%,26,26,26,0.63 ml/100 g,0.63,,0.63,H/C ratio 3.5,3.50,,3.50,Humulene 32%,32.0,,32.0,unknown,,unknown,,contains some farnesene,
6708457e1540d082ce0716e4,Landhopfen,21172,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21172.html,Early,Light green,moderately resistant,,Viruses: unknown,Poor to good,"Low, under 1000 lbs/acre",6-15 inches,3.5% (4-year range: 3.2-4.1%),4.1,3.2,3.7,3.2% (4-year range: 2.5-3.5%),3.5,2.5,3.0,23% (4-year range 21-25%),25,21,23,0.37 ml/100 g (4-year range: 0.25-0.45),0.37,,0.37,H/C ratio 3.54,3.44,,3.44,unknown,,,,unknown,,unknown,,contains significant amounts of farnesene,
6708457e1540d082ce0716d5,Strisselspalter,21173,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21173.html,Medium early to medium late,Green to dark green,moderately resistant,tolerant to resistant,Viruses: unknown,Good to poor,"800 lbs/acre near Corvallis, probably higher in the Alsace area of France where it is grown commercially",12-24 inches,4.8% (8-year range 4.1-57%),5.7,4.1,4.9,3.3% (8-year range 2.5-3.9%),3.9,2.5,3.2,27%,27,27,27,0.9 ml/100 g,0.90,,0.90,H/C = 2.80,2.80,,2.80,humulene 28-32% of the oil,32.0,28.0,30.0,unknown,,unknown,,,
6708457e1540d082ce0716c1,Hersbrucker E,21179,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21179.html,late,dark green,moderately susceptible,resistant,Viruses: free of PNRV and ApMV at time of receipt,very good,good to very good,"20 to 40 inches, sometimes longer",4 - 6%,6.0,4.0,5.0,5 - 7%,7.0,5.0,6.0,22 - 24%,24,22,23,0.63 ml/100 g,0.63,,0.63,Humulene 29%; caryophyllene 9%; myrcene 46%; farnesene trace,,,#DIV/0!,Humulene 29%,29.0,,29.0,caryophyllene 9%,9.0,myrcene 46%,46.0,farnesene trace,
6708457e1540d082ce07169a,Galena,21182,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21182.html,Medium to medium early,Medium to light green,moderately resistant,resistant,Viruses: free of prunus necrotic ringspot virus and apple mosaic virus,Very good,"Very good, 1600-2000 lbs/acre",20-40 inches,12.0% (10 year range: 8.02 to 14.9%),14.9,8.0,11.5,7.5 (10 year range: 4.6 to 9.0%),9.0,4.6,6.8,39%,39,39,39,1.05 ml/100 g (10 year range: 0.55 to 2.03); Myrcene 55.2%; humulene 9.2%; caryophyllene 4.1%; farnesene trace; H/C ratio = 2.24,1.05,,1.05,H/C ratio = 2.24,2.24,,2.24,Humulene 9.2%,9.2,,9.2,caryophyllene 4.1%,4.1,myrcene 55.2%,55.2,farnesene trace,
6708457e1540d082ce071720,Eroica,21183,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21183.html,Late,Medium to medium dark green,moderately resistant,resistant,"Viruses: slight infection with Prunus Necrotic Ringspot, Ringspot, Apple Mosaic, and Hop Mosaic",Very good,Very good to excellent (1800-2200 lbs/acre),20-40 inches,12.3% (10-year range 7.3 to 14.9%),14.9,7.3,11.1,4.5% (10-year range 3.0 to 5.3%),5.3,3.0,4.2,40%,40,40,40,O.90 ml/100 g,0.90,,0.90,H/C ratio 0.07,0.07,,0.07,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716c4,Hersbrucker,21185,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21185.html,Late,Dark green,tolerant to moderately susceptible,moderately resistant to tolerant,"Viruses: infected with some hop viruses, but virusfree clones are now available",Very good,Good to very good,12-36 inches,4.6% (10-year range 3.8 to 7.4%),7.4,3.8,5.6,6.8% (10-year range 5.0-8.6%),8.6,5.0,6.8,25%,25,25,25,0.68 ml/100 g,0.68,,0.68,H/C = 3.21,3.21,,3.21,humulene 26.5%,26.5,,26.5,unknown,,unknown,,,
6708457e1540d082ce0716cb,Spalter,21186,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21186.html,Early,Medium green,moderately resistant,,Viruses: unknown,Poor,"Low, under 1000 lbs/acre",6-15 inches,5.7% (5-year range: 3.6-7.5%),7.5,3.6,5.6,4.6% (5-year range: 3.0-6.2%),6.2,3.0,4.6,23% (5-year range: 20-25%),25,20,23,0.62 ml/100 g (5-year range 0.31-1.03),0.62,,0.62,H/C ratio 3.43,3.43,,3.43,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716c5,Southern Brewer,21187,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21187.html,,,,resistant,Viruses: unknown,Very good,"High, 1500-2000 lbs/acre, sometimes higher",20-40 inches,9.8% (5-year range: 5.6-12.0%),12.0,5.6,8.8,4.4% (5-year range: 2.8-5.0%),5.0,2.8,3.9,40% (5-year range: 33-42%),42,33,38,0.94 ml/100 g (5-year range: 0.43-1.03),0.94,,0.94,unknown,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716da,Bullion 6A,21196,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21196.html,Medium early,Dark green,moderately resistant,resistant,Viruses: free of prunus and apple mosaic virus,Excellent,"High, 2000-2500 lbs/Acre",24-40 inches,10.20%,10.2,10.2,10.2,5.10%,5.1,5.1,5.1,38-42%,42,38,40,1.42 ml/100 g,1.42,,1.42,unknown,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716fa,US Tettnanger,21197,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21197.html,Early,Medium to medium dark green,resistant,resistant,Viruses: originally free of Prunus Necrotic Ringspot and Apple Mosaic Virus,Fair to good,Low to medium (1000-1300 lbs/acre),12-36 inches,5.8% (10-year range 3.5 to 8.8%),8.8,3.5,6.2,2.9% (10-year range 2.1 to 4.4%),4.4,2.1,3.3,27% (10-year range 24 to 31%),31,24,28,0.87 ml/100 g,0.87,,0.87,H/C ratio 3.1,3.10,,3.10,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716bc,Sirem,21214,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21214.html,Early,Dark green,moderately susceptible,,Viruses: infected with all five hop viruses,Poor,Poor (about 200 lbs/acre in Corvallis test plots; probably higher in Czechoslovakia where it is better adapted),6-10 inches,3.50%,3.5,3.5,3.5,3.10%,3.1,3.1,3.1,23%,23,23,23,0.47 ml/100 g,0.47,,0.47,H/C ratio = 3.70,3.70,,3.70,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce071708,Nordgaard,21215,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21215.html,early,"dark green, reddish stem color",moderately resistant to tolerant,,Viruses: no information,fair to poor,"poor, ranging from 300 to 1,100 lbs/acre in Corvallis plots",8 to 20 inches,7.50%,7.5,7.5,7.5,3.40%,3.4,3.4,3.4,29%,29,29,29,0.94 ml/100 g,0.94,,0.94,H/C ratio = 2.54,2.54,,2.54,Humulene 26.8%,26.8,,26.8,caryophyllene 10.5%,10.5,myrcene 47.3%,47.3,farnesene 1.7%,1.7
6708457e1540d082ce0716a3,Groene Bel,21216,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21216.html,medium to late,dark green,,,,fair to poor in Corvallis test plots,poor in Corvallis test plots,"short, 8 to 12 inches",4.90%,4.9,4.9,4.9,3.50%,3.5,3.5,3.5,27%,27,27,27,0.98 ml/100 g,0.98,,0.98,H/C ratio = 2.41,2.41,,2.41,Humulene 31.5%,31.5,,31.5,caryophyllene 17.9%,17.9,myrcene 39.0%,39.0,,
